Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Ct,St,rating,res,
Abu Jayed,2019-2019,2,2,18,0,114,5,22.8,6.33,21.6,0,1,0,0,59.54385965,1,58
Afif Hossain,2020-2020,1,1,2,0,12,1,12,6,12,0,0,0,0,13.08333333,0,13
Al-Amin Hossain,2014-2020,15,15,110.3,7,608,22,27.63,5.5,30.1,2,0,1,0,42.09964749,1,43.27726022
Mahmudullah,2007-2020,188,136,688.4,14,3561,76,46.85,5.17,54.3,0,0,64,0,26.78432639,0,28.1335591
Mashrafe Mortaza,2001-2020,218,218,1804.3,122,8785,269,32.65,4.86,40.2,7,1,61,0,41.63034672,1,43.49572858
Mehidy Hasan Miraz,2017-2020,41,40,349.1,10,1625,40,40.62,4.65,52.3,1,0,13,0,41.67826047,1,42.78344037
Mohammad Saifuddin,2017-2020,22,22,165.3,7,972,31,31.35,5.87,32,1,0,3,0,45.66514934,1,46.50243189
Mosaddek Hossain,2016-2019,35,33,150.2,1,787,14,56.21,5.23,64.4,0,0,13,0,24.29717413,0,25.22082478
Mustafizur Rahman,2015-2020,58,57,480.5,22,2512,109,23.04,5.22,26.4,3,5,12,0,46.0716335,1,46.11359374
Rubel Hossain,2009-2019,101,99,756.4,28,4300,126,34.12,5.68,36,7,1,20,0,44.77339048,1,45.68828533
Sabbir Rahman,2014-2019,66,21,51,0,345,3,115,6.76,102,0,0,37,0,16.58012422,0,17.42857143
Shafiul Islam,2010-2020,60,60,423.2,26,2529,70,36.12,5.97,36.2,4,0,8,0,43.40578226,1,45.35885538
Shakib Al Hasan,2006-2019,206,203,1752.5,83,7857,260,30.21,4.48,40.4,8,2,50,0,40.0656741,1,41.12307856
Soumya Sarkar,2014-2019,55,14,54,0,318,9,35.33,5.88,36,0,0,33,0,23.38544474,0,23.71204852
Taijul Islam,2014-2020,9,9,85,7,337,12,28.08,3.96,42.5,1,0,1,0,38.89573903,1,40.75235189
